engine,titled,moveNumber,rank,loss,advantage,ambiguous,timeConsistent,bot,blur
1,0,1,2,1,-6,1,0,0,0
1,0,2,1,0,-1,1,1,0,0
1,0,3,1,0,1,1,1,0,0
1,0,4,2,0,1,1,1,0,0
1,0,5,1,0,1,1,0,0,0
1,0,6,1,1,8,0,1,0,0
1,0,7,2,6,3,1,1,0,0
1,0,8,1,2,4,1,1,0,0
1,0,10,2,4,-4,1,1,0,0
1,0,11,4,5,-5,1,0,0,0
1,0,14,1,0,5,1,1,0,0
1,0,15,1,4,22,1,0,0,0
1,0,16,4,14,6,0,0,0,0
1,0,17,2,3,25,0,1,0,0
1,0,18,2,1,23,1,1,0,0
1,0,19,2,0,37,1,1,0,0
1,0,20,1,0,40,1,0,0,0
1,0,21,1,0,40,0,1,0,0
1,0,22,1,3,41,1,1,0,0
1,0,23,1,3,43,0,1,0,0
1,0,24,3,11,45,1,1,0,0
1,0,25,1,1,47,0,0,0,0
1,0,26,1,0,57,0,0,0,0
1,0,27,2,0,80,1,1,0,0
1,0,28,1,0,99,0,1,0,0
1,0,29,1,0,99,0,0,0,0
1,0,30,1,0,99,1,0,0,0
1,0,31,1,0,99,1,0,0,0
1,0,32,1,0,100,1,1,0,0
1,0,33,1,200,-100,0,0,0,0
1,0,1,1,0,5,1,0,0,0
1,0,3,1,0,3,0,1,0,0
1,0,4,1,2,3,1,1,0,0
1,0,5,2,0,4,1,0,0,0
1,0,6,1,0,6,1,1,0,0
1,0,7,1,0,14,1,1,0,0
1,0,8,4,1,11,1,0,0,0
1,0,9,1,0,10,1,0,0,0
1,0,10,1,0,12,1,1,0,0
1,0,12,1,2,8,1,1,0,0
1,0,13,1,2,15,0,1,0,0
1,0,14,1,0,20,1,1,0,0
1,0,15,2,0,23,1,1,0,0
1,0,17,1,0,29,0,1,0,0
1,0,18,1,0,30,1,1,0,0
1,0,19,1,0,42,0,1,0,0
1,0,20,1,0,53,0,1,0,0
1,0,21,1,0,53,0,1,0,0
1,0,22,1,0,78,0,1,0,0
1,0,23,1,0,80,0,1,0,0
1,0,24,1,0,81,0,0,0,0
1,0,25,2,1,82,1,1,0,0
1,0,26,1,0,85,1,1,0,0
1,0,27,1,0,90,0,1,0,0
1,0,28,1,0,94,1,0,0,0
1,0,29,1,0,95,1,1,0,0
1,0,1,1,3,2,1,1,0,0
1,0,2,1,0,5,1,1,0,0
1,0,3,3,0,6,1,1,0,0
1,0,4,2,1,3,1,1,0,0
1,0,5,2,4,3,1,1,0,0
1,0,6,4,5,2,1,1,0,0
1,0,7,3,0,4,1,1,0,0
1,0,9,1,4,10,1,1,0,0
1,0,10,1,3,21,0,1,0,0
1,0,11,2,0,27,1,1,0,0
1,0,12,2,7,21,1,1,0,0
1,0,13,1,0,18,1,1,0,0
1,0,14,1,0,22,0,1,0,0
1,0,15,1,0,23,1,1,0,0
1,0,16,1,1,22,1,1,0,0
1,0,17,1,0,40,0,1,0,0
1,0,18,2,0,45,1,1,0,0
1,0,19,4,1,46,1,1,0,0
1,0,21,1,0,74,1,1,0,0
1,0,22,2,5,71,0,1,0,0
1,0,23,1,0,71,1,1,0,0
1,0,24,1,0,83,0,1,0,0
1,0,25,1,0,88,0,1,0,0
1,0,26,1,0,88,1,1,0,0
1,0,27,2,0,89,1,1,0,0
1,0,1,1,0,5,1,0,0,0
1,0,2,1,0,10,1,0,0,0
1,0,3,1,1,8,1,0,0,0
1,0,4,2,3,9,1,1,0,0
1,0,5,3,0,11,1,1,0,0
1,0,6,2,4,14,1,0,0,0
1,0,7,5,4,22,1,0,0,0
1,0,8,1,3,25,0,1,0,0
1,0,9,2,4,24,1,1,0,0
1,0,10,2,4,29,1,1,0,0
1,0,11,3,6,32,1,1,0,0
1,0,12,1,0,35,0,1,0,0
1,0,13,1,1,35,0,1,0,0
1,0,14,1,0,42,1,1,0,0
1,0,15,3,2,38,1,0,0,0
1,0,16,1,2,40,0,1,0,0
1,0,17,1,11,50,1,0,0,0
1,0,18,1,0,56,1,1,0,0
1,0,19,1,0,66,0,1,0,0
1,0,20,1,0,89,0,0,0,0
1,0,21,1,0,98,0,0,0,0
1,0,22,1,0,99,1,0,0,0
1,0,23,1,0,99,0,0,0,0
1,0,24,1,0,99,1,0,0,0
1,0,25,1,0,100,1,0,0,0
1,0,26,1,0,100,1,0,0,0
1,0,27,1,200,-100,1,0,0,0
1,0,1,1,0,5,1,0,0,0
1,0,2,1,0,8,1,1,0,0
1,0,3,2,0,5,1,0,0,0
1,0,5,1,1,13,0,0,0,0
1,0,6,2,3,10,1,0,0,0
1,0,7,2,0,12,1,1,0,0
1,0,8,2,0,14,1,0,0,0
1,0,9,2,7,9,0,1,0,0
1,0,10,3,10,0,1,1,0,0
1,0,11,2,0,27,0,1,0,0
1,0,12,1,0,45,0,0,0,0
1,0,13,1,1,44,0,1,0,0
1,0,14,2,11,50,0,1,0,0
1,0,15,1,0,53,0,1,0,0
1,0,16,1,0,65,0,1,0,0
1,0,17,1,2,63,0,0,0,0
1,0,18,1,0,80,1,1,0,0
1,0,19,1,0,84,1,0,0,0
1,0,20,4,2,82,1,1,0,0
1,0,21,1,0,88,1,1,0,0
1,0,22,3,0,89,1,0,0,0
1,0,23,1,0,98,1,0,0,0
1,0,24,1,0,99,1,0,0,0
1,0,25,1,0,100,1,0,0,0
1,0,26,1,200,-100,1,1,0,0
1,0,1,1,4,4,0,0,0,0
1,0,2,1,3,6,1,0,0,0
1,0,3,3,0,5,1,0,0,0
1,0,4,3,5,-1,1,0,0,0
1,0,5,5,7,-8,1,0,0,0
1,0,7,1,0,-16,0,0,0,0
1,0,8,1,0,-14,0,1,0,0
1,0,9,2,6,-20,1,1,0,0
1,0,10,4,8,-11,0,1,0,0
1,0,11,3,6,-11,1,1,0,0
1,0,12,1,2,-12,1,1,0,0
1,0,13,1,0,-5,0,1,0,0
1,0,14,1,2,-2,0,1,0,0
1,0,15,3,4,-4,1,0,0,0
1,0,16,1,0,6,1,1,0,0
1,0,17,1,0,7,1,1,0,0
1,0,18,1,2,6,0,0,0,0
1,0,19,1,1,13,1,1,0,0
1,0,20,4,0,15,1,1,0,0
1,0,21,1,3,15,0,0,0,0
1,0,22,1,0,18,0,0,0,0
1,0,23,1,0,24,0,1,0,0
1,0,24,3,0,25,1,1,0,0
1,0,25,1,4,23,0,0,0,0
1,0,26,1,1,35,0,1,0,0
1,0,27,3,2,37,1,1,0,0
1,0,28,1,0,53,1,1,0,0
1,0,29,1,0,66,0,1,0,0
1,0,30,1,0,82,1,1,0,0
1,0,31,2,0,85,1,0,0,0
1,0,1,1,0,6,1,0,0,0
1,0,2,1,1,12,0,0,0,0
1,0,3,1,0,16,0,1,0,0
1,0,4,2,0,14,1,1,0,0
1,0,5,1,0,16,1,1,0,0
1,0,6,1,0,16,1,1,0,0
1,0,7,2,0,16,1,1,0,0
1,0,8,1,0,16,1,1,0,0
1,0,9,1,1,20,1,0,0,0
1,0,10,3,0,19,1,0,0,0
1,0,11,1,4,31,0,0,0,0
1,0,12,3,14,17,1,0,0,0
1,0,13,5,17,10,1,0,0,0
1,0,14,1,2,36,0,0,0,0
1,0,15,1,0,62,0,0,0,0
1,0,16,1,0,62,0,0,0,0
1,0,17,2,0,63,1,1,0,0
1,0,18,1,0,65,1,1,0,0
1,0,19,1,0,66,1,0,0,0
1,0,20,1,0,66,1,0,0,0
1,0,21,2,0,67,1,1,0,0
1,0,22,1,0,70,1,1,0,0
1,0,23,1,0,76,1,0,0,0
1,0,24,1,0,83,1,1,0,0
1,0,25,1,0,86,0,1,0,0
1,0,26,1,0,87,0,0,0,0
0,0,1,1,5,1,0,0,0,0
0,0,2,2,1,-1,1,0,0,0
0,0,4,1,2,-9,1,0,0,0
0,0,6,4,0,-8,1,0,0,0
0,0,8,1,1,-30,0,0,0,0
0,0,9,2,6,-39,1,0,0,0
0,0,10,3,1,-26,1,0,0,0
0,0,11,4,6,-23,1,0,0,0
0,0,12,4,16,-27,0,1,0,0
0,0,13,5,13,-25,0,0,0,0
0,0,14,1,2,0,1,0,0,0
0,0,15,1,0,2,0,0,0,0
0,0,17,1,0,-10,0,0,0,0
0,0,19,1,0,-10,0,0,0,0
0,0,21,1,1,-35,0,1,0,0
0,0,23,1,4,-49,1,0,0,0
0,0,24,1,1,-52,1,1,0,0
0,0,25,1,0,-50,0,0,0,0
0,0,26,1,2,-29,0,0,0,0
0,0,27,2,9,-39,0,0,0,0
0,0,28,2,27,-63,0,1,0,0
0,0,29,1,0,-60,1,0,0,0
0,0,30,1,1,-65,0,1,0,0
0,0,31,2,11,-65,0,1,0,0
0,0,32,2,3,-71,1,0,0,0
0,0,33,1,2,-64,0,0,0,0
0,0,34,1,1,-67,1,0,0,0
0,0,35,5,19,-87,0,0,0,0
0,0,36,2,3,-91,1,0,0,0
0,0,38,2,4,-99,1,0,0,0
0,0,39,2,0,-99,1,1,0,0
0,0,41,1,0,-100,0,0,0,0
0,0,1,1,2,5,0,0,0,0
0,0,3,5,5,-6,1,0,0,0
0,0,5,3,6,-15,1,0,0,0
0,0,6,3,4,-9,1,0,0,0
0,0,9,5,13,-20,1,0,0,0
0,0,12,1,0,-24,0,0,0,0
0,0,13,1,0,-10,0,1,0,0
0,0,14,5,5,-8,1,0,0,0
0,0,15,2,2,-13,1,1,0,0
0,0,18,2,3,-40,1,1,0,0
0,0,20,4,28,-70,1,1,0,0
0,0,21,2,3,-75,1,1,0,0
0,0,23,1,0,-87,1,1,0,0
0,0,24,1,2,-77,0,0,0,0
0,0,25,4,3,-79,1,0,0,0
0,0,27,5,10,-98,1,1,0,0
0,0,28,2,1,-99,1,0,0,0
0,0,33,2,0,-100,1,0,0,0
0,0,34,2,0,-100,1,0,0,0
0,0,35,2,6,-100,0,1,0,0
0,0,36,3,2,-98,1,0,0,0
0,0,38,3,4,-100,1,0,0,0
0,0,39,1,0,-99,1,0,0,0
0,0,40,2,0,-99,1,1,0,0
0,0,42,1,0,-100,1,0,0,0
0,0,1,2,1,-7,1,0,0,0
0,0,3,5,11,-32,1,1,0,0
0,0,4,1,0,-13,1,0,0,0
0,0,5,3,1,-12,1,0,0,0
0,0,6,1,0,-7,0,1,0,0
0,0,8,2,0,-14,1,0,0,0
0,0,9,1,0,-13,1,1,0,0
0,0,10,5,20,-28,1,1,0,0
0,0,11,3,14,-25,0,1,0,0
0,0,12,1,0,-8,0,0,0,0
0,0,13,1,2,-8,1,0,0,0
0,0,14,1,0,0,0,0,0,0
0,0,16,3,3,1,1,0,0,0
0,0,17,3,0,2,1,0,0,0
0,0,18,1,3,6,1,1,0,0
0,0,19,2,5,11,1,0,0,0
0,0,20,3,9,2,0,0,0,0
0,0,21,1,0,5,0,0,0,0
0,0,22,1,0,7,0,0,0,0
0,0,23,3,5,0,0,1,0,0
0,0,24,1,0,0,1,1,0,0
0,0,26,2,1,-1,1,0,0,0
0,0,27,2,0,0,1,0,0,0
0,0,29,2,1,0,1,1,0,0
0,0,31,2,17,-39,0,0,0,0
0,0,1,2,2,-5,1,0,0,0
0,0,2,5,1,-6,1,0,0,0
0,0,4,4,6,-14,1,0,0,0
0,0,5,5,0,-15,1,0,0,0
0,0,6,4,4,-19,1,0,0,0
0,0,8,5,6,-26,1,1,0,0
0,0,9,5,16,-42,1,1,0,0
0,0,10,3,27,-67,1,1,0,0
0,0,11,3,24,-89,0,1,0,0
0,0,13,1,0,-84,1,0,0,0
0,0,14,1,0,-84,0,0,0,0
0,0,18,1,1,-91,1,0,0,0
0,0,19,1,0,-18,0,0,0,0
0,0,20,1,5,-21,0,0,0,0
0,0,21,1,2,-16,0,1,0,0
0,0,22,1,0,-10,0,1,0,0
0,0,23,4,6,-11,1,0,0,0
0,0,27,1,1,-64,1,1,0,0
0,0,28,1,1,-66,1,0,0,0
0,0,29,1,7,-71,1,0,0,0
0,0,30,1,5,-25,0,0,0,0
0,0,31,2,33,-49,0,0,0,0
0,0,33,1,1,-95,1,0,0,0
0,0,35,3,0,-100,1,1,0,0
0,0,1,1,2,-5,1,0,0,0
0,0,2,3,0,-4,1,0,0,0
0,0,5,2,0,-11,1,1,0,0
0,0,6,2,3,-13,1,1,0,0
0,0,9,1,0,-37,0,1,0,0
0,0,10,2,10,-45,0,1,0,0
0,0,11,1,0,-47,1,0,0,0
0,0,12,1,0,-45,0,1,0,0
0,0,13,1,0,-43,0,0,0,0
0,0,14,1,0,6,0,0,0,0
0,0,15,1,0,16,0,0,0,0
0,0,16,3,16,-2,0,0,0,0
0,0,17,2,7,-7,1,1,0,0
0,0,18,1,17,42,0,1,0,0
0,0,19,1,2,64,0,1,0,0
0,0,20,1,0,73,0,0,0,0
0,0,21,1,2,71,0,1,0,0
0,0,24,1,0,-100,1,1,0,0
0,0,25,1,0,-100,0,0,0,0
1,0,1,2,0,-4,1,0,0,97
1,0,2,1,0,-4,1,1,0,97
1,0,3,1,1,-2,1,1,0,97
1,0,4,2,0,-3,1,1,0,97
1,0,6,3,7,0,1,1,0,97
1,0,7,1,0,5,1,1,0,97
1,0,8,2,9,21,0,1,0,97
1,0,9,2,0,23,1,1,0,97
1,0,11,2,4,13,1,1,0,97
1,0,12,2,3,12,1,1,0,97
1,0,13,2,4,19,0,1,0,97
1,0,14,1,0,26,0,1,0,97
1,0,15,1,0,35,0,0,0,97
1,0,16,3,4,41,1,0,0,97
1,0,17,1,0,41,0,1,0,97
1,0,18,1,0,47,1,1,0,97
1,0,19,1,0,50,1,1,0,97
1,0,20,1,0,52,1,1,0,97
1,0,21,1,0,57,1,1,0,97
1,0,22,1,0,59,0,0,0,97
1,0,23,2,0,65,1,1,0,97
1,0,24,2,3,68,1,0,0,97
1,0,25,1,0,83,0,0,0,97
1,0,26,1,0,85,0,1,0,97
1,0,27,1,0,86,0,1,0,97
1,0,28,2,5,81,0,0,0,97
1,0,29,1,0,91,1,0,0,97
1,0,30,1,0,94,0,1,0,97
1,0,31,1,0,96,1,1,0,97
1,0,32,2,0,96,1,1,0,97
1,0,33,4,1,95,1,1,0,97
1,0,34,2,4,92,0,1,0,97
1,0,35,5,5,90,0,1,0,97
1,0,36,1,0,92,1,0,0,97
1,0,37,1,0,93,1,1,0,97
1,0,38,1,0,93,0,1,0,97
1,0,39,1,0,94,1,0,0,97
1,0,40,1,0,97,1,1,0,97
1,0,2,2,0,-8,1,1,0,97
1,0,3,1,3,-10,1,1,0,97
1,0,4,2,0,-9,1,1,0,97
1,0,5,1,0,-7,1,0,0,97
1,0,6,1,0,-8,1,1,0,97
1,0,7,1,0,-5,1,1,0,97
1,0,8,4,1,-4,1,0,0,97
1,0,9,1,0,-2,0,1,0,97
1,0,10,2,3,-5,1,1,0,97
1,0,11,1,0,0,1,1,0,97
1,0,12,2,0,1,1,1,0,97
1,0,14,1,0,-7,0,0,0,97
1,0,15,1,1,5,0,1,0,97
1,0,16,1,2,16,0,1,0,97
1,0,17,3,9,19,0,0,0,97
1,0,18,4,12,17,0,1,0,97
1,0,19,4,6,15,1,1,0,97
1,0,20,3,0,16,1,1,0,97
1,0,21,3,13,19,0,1,0,97
1,0,23,1,1,22,0,1,0,97
1,0,24,1,4,30,0,0,0,97
1,0,25,1,0,31,0,0,0,97
1,0,26,1,0,37,0,1,0,97
1,0,27,1,1,35,0,1,0,97
1,0,28,1,0,38,1,1,0,97
1,0,29,2,1,35,1,1,0,97
1,0,30,1,0,39,0,0,0,97
1,0,31,5,0,46,1,0,0,97
1,0,33,5,3,48,1,1,0,97
1,0,34,1,0,65,0,1,0,97
1,0,35,2,0,70,1,0,0,97
1,0,36,1,0,73,1,0,0,97
1,0,37,1,0,78,1,1,0,97
1,0,38,5,2,90,0,0,0,97
1,0,39,1,0,100,1,0,0,97
1,0,40,1,0,100,1,0,0,97
1,0,1,1,1,4,1,0,0,84
1,0,2,1,1,5,1,1,0,84
1,0,3,2,3,4,1,0,0,84
1,0,5,3,4,-1,1,1,0,84
1,0,6,3,5,-8,1,0,0,84
1,0,7,1,0,-2,1,1,0,84
1,0,8,3,2,-3,1,1,0,84
1,0,9,5,1,-3,1,1,0,84
1,0,10,1,1,-4,0,1,0,84
1,0,11,1,2,-5,1,1,0,84
1,0,12,2,0,-5,1,1,0,84
1,0,13,5,4,-4,1,1,0,84
1,0,14,1,0,9,0,0,0,84
1,0,15,1,0,17,0,0,0,84
1,0,16,2,17,6,0,1,0,84
1,0,17,2,19,0,0,1,0,84
1,0,18,1,0,28,0,1,0,84
1,0,19,1,1,32,1,1,0,84
1,0,20,1,0,35,0,0,0,84
1,0,22,1,0,26,0,0,0,84
1,0,23,1,2,34,1,1,0,84
1,0,25,3,9,21,1,1,0,84
1,0,27,5,1,18,1,1,0,84
1,0,28,2,0,17,1,1,0,84
1,0,30,3,4,19,1,1,0,84
1,0,32,3,0,23,1,1,0,84
1,0,33,1,0,28,1,1,0,84
1,0,34,4,0,34,1,1,0,84
1,0,35,1,0,43,1,1,0,84
1,0,36,5,13,30,0,1,0,84
1,0,37,1,6,27,0,1,0,84
1,0,38,3,0,45,1,1,0,84
1,0,39,4,22,46,1,1,0,84
1,0,40,3,0,49,1,1,0,84
1,0,41,1,0,49,0,0,0,84
1,0,42,4,5,45,0,1,0,84
1,0,43,5,18,31,1,0,0,84
1,0,44,1,0,46,1,1,0,84
0,0,1,1,3,-8,1,0,0,0
0,0,2,3,0,-6,1,1,0,0
0,0,4,1,0,0,1,1,0,0
0,0,5,1,2,3,1,1,0,0
0,0,7,1,0,4,0,1,0,0
0,0,8,1,1,3,1,1,0,0
0,0,9,2,0,2,1,1,0,0
0,0,11,4,4,0,1,0,0,0
0,0,13,1,0,56,0,0,0,0
0,0,14,5,3,54,1,1,0,0
0,0,15,5,6,58,1,0,0,0
0,0,16,3,2,57,1,1,0,0
